Name	SMILES
Aceclidine	CC(=O)OC1CN2CCC1CC2
Aceclofenac	O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Acemetacin	COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
Acenocoumarol	CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
Acetaminophen	CC(=O)Nc1ccc(O)cc1
Acetarsol	CC(=O)Nc1cc([As](=O)(O)O)ccc1O
Acetazolamide	CC(=O)Nc1nnc(S(N)(=O)=O)s1
Acetic acid	CC(=O)O
Acetohexamide	CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Acetohydroxamic acid	CC(=O)NO
Acetophenazine	CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
Acetyl sulfisoxazole	CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1
Acetylcarnitine	CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
Acetylcholine	CC(=O)OCC[N+](C)(C)C
Acetylcysteine	CC(=O)N[C@@H](CS)C(=O)O
Acetyldigitoxin	CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
Acetylene	C#C
Acetylsalicylic acid	CC(=O)Oc1ccccc1C(=O)O
Acipimox	Cc1cnc(C(=O)O)c[n+]1[O-]
Acitretin	COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
Aclidinium	O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1
Acrivastine	Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
Activated charcoal	[C]
Acyclovir	Nc1nc(=O)c2ncn(COCCO)c2[nH]1
Adagrasib	C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N
Adapalene	COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
Adefovir dipivoxil	CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
Ademetionine	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Adenine	Nc1ncnc2nc[nH]c12
Adenosine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Adenosine phosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Adiphenine	CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
Afamelanotide	CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C
Afatinib	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
Agomelatine	COc1ccc2cccc(CCNC(C)=O)c2c1
Ajmaline	CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O
Alatrofloxacin	C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21
Albendazole	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
Alcaftadine	CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1
Alclofenac	C=CCOc1ccc(CC(=O)O)cc1Cl
Alclometasone	C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
Alcloxa	NC(=O)NC1NC(=O)[N-]C1=O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-]
Alectinib	CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
Alendronic acid	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
Alfacalcidol	C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
Alfentanil	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
Alfuzosin	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
Alimemazine	CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
Aliskiren	COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
Alitretinoin	CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
Allantoin	NC(=O)NC1NC(=O)NC1=O
Alloin	O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21
Allopurinol	Oc1ncnc2[nH]ncc12
Almasilate	O.[Al+3].[Al+3].[Mg+2].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-]
Almitrine	C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1
Almotriptan	CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
Alogliptin	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
Alosetron	Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
Alpelisib	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
alpha-Amyl cinnamaldehyde	CCCCC/C(C=O)=C/c1ccccc1
alpha-Arbutin	OC[C@H]1O[C@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
alpha-Linolenic acid	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
alpha-Tocopherol succinate	Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
Alprazolam	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
Alprostadil	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
Altretamine	CN(C)c1nc(N(C)C)nc(N(C)C)n1
Aluminium	[Al]
Aluminium phosphate	O=P([O-])([O-])[O-].[Al+3]
Aluminum acetate	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3]
Aluminum chloride	Cl[Al](Cl)Cl
Aluminum chlorohydrate	O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-].[OH-]
Aluminum hydroxide	[Al+3].[OH-].[OH-].[OH-]
Aluminum oxide	[Al+3].[Al+3].[O-2].[O-2].[O-2]
Aluminum subacetate	CC(=O)O[Al](O)OC(C)=O
Aluminum sulfate	O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3]
Aluminum zirconium octachlorohydrex gly	NCC(=O)[O-].O.O.[Al+3].[Cl-].[Zr+4]
Alverine	CCN(CCCc1ccccc1)CCCc1ccccc1
Alvimopan	C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1
Amantadine	NC12CC3CC(CC(C3)C1)C2
Ambenonium	CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
Ambrisentan	COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
Ambroxol	Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1
Amcinonide	CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
Amifampridine	Nc1ccncc1N
Amifostine	NCCCNCCSP(=O)(O)O
Amikacin	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
Amiloride	N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
Amiloxate	COc1ccc(/C=C/C(=O)OCCC(C)C)cc1
Aminobenzoic acid	Nc1ccc(C(=O)O)cc1
Aminocaproic acid	NCCCCCC(=O)O
Aminoglutethimide	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
Aminohippuric acid	Nc1ccc(C(=O)NCC(=O)O)cc1
Aminolevulinic acid	NCC(=O)CCC(=O)O
Aminophenazone	Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
Aminophylline	Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN
Aminosalicylic acid	Nc1ccc(C(=O)O)c(O)c1
Amiodarone	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
Amisulpride	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
Amitriptyline	CN(C)CCC=C1c2ccccc2CCc2ccccc21
Amitriptylinoxide	C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21
Amlexanox	CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
Amlodipine	CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
Ammonia N-13	[13NH3]
Ammonium carbonate	O=C([O-])[O-].[NH4+].[NH4+]
Ammonium chloride	[Cl-].[NH4+]
Ammonium lactate	CC(O)C(=O)[O-].[NH4+]
Amobarbital	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Amodiaquine	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
Amorolfine	CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1
Amoxapine	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
Amoxicillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
Amphetamine	CC(N)Cc1ccccc1
Amphotericin B	C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
Ampicillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Amprenavir	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
Amrinone	Nc1cc(-c2ccncc2)c[nH]c1=O
Amsacrine	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
Amyl Nitrite	CCCCCON=O
Amylmetacresol	CCCCCc1ccc(C)cc1O
Amylocaine	CCC(C)(CN(C)C)OC(=O)c1ccccc1
Anagrelide	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
Anastrozole	CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
Anethole	C/C=C/c1ccc(OC)cc1
Anethole trithione	COc1ccc(-c2cc(=S)ss2)cc1
Anidulafungin	CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1
Anileridine	CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1
Anisindione	COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
Anisotropine methylbromide	CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-]
Antazoline	c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
Anthralin	O=C1c2c(O)cccc2Cc2cccc(O)c21
Antipyrine	Cc1cc(=O)n(-c2ccccc2)n1C
Antrafenine	O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12
Apalutamide	CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F
Apixaban	COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
Apomorphine	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
Apraclonidine	Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1
Apremilast	CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC
Aprepitant	C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
Apronalide	C=CCC(C(=O)NC(N)=O)C(C)C
Arbutamine	Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
Arbutin	OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
Arformoterol	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
Argatroban	CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
Aripiprazole	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
Aripiprazole lauroxil	CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21
Armodafinil	NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
Arsenic trioxide	O=[As]O[As]=O
Artemether	CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
Artemotil	CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
Artenimol	C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
Artesunate	C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
Articaine	CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC
Arzoxifene	COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1
Asciminib	O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1
Ascorbic acid	O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
Asenapine	CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1
Asparagine	NC(=O)C[C@H](N)C(=O)O
Aspartic acid	N[C@@H](CC(=O)O)C(=O)O
Astemizole	COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
Asunaprevir	C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
Ataluren	O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
Atazanavir	COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
Atenolol	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Atogepant	C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F
Atomoxetine	CNCC[C@@H](Oc1ccccc1C)c1ccccc1
Atorvastatin	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
Atosiban	CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1
Atovaquone	O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
Atracurium besylate	COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1
Atropine	CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
Attapulgite	O.O.O.O.[Al+3].[Mg+2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[Si+4].[Si+4].[Si+4].[Si+4]
Auranofin	CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
Aurothioglucose	OC[C@H]1O[C@H](S[Au])[C@H](O)[C@@H](O)[C@@H]1O
Avacopan	Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F
Avanafil	COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl
Avapritinib	Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
Avatrombopag	O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1
Avibactam	NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O
Avobenzone	COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1
Axitinib	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
Azacitidine	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
Azatadine	CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
Azathioprine	Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
Azelaic acid	O=C(O)CCCCCCCC(=O)O
Azelastine	CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
Azilsartan medoxomil	CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
Azithromycin	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Azlocillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Aztreonam	C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-]
Bacampicillin	CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C
Bacitracin	CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1
Baclofen	NCC(CC(=O)O)c1ccc(Cl)cc1
Baloxavir marboxil	COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O
Balsalazide	O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1
Baricitinib	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
Barium sulfate	O=S(=O)([O-])[O-].[Ba+2]
Bazedoxifene	Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
Beclomethasone dipropionate	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
Bedaquiline	COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12
Belinostat	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
Belzutifan	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F
Bemotrizinol	CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1
Bempedoic acid	CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O
Benazepril	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
Bendamustine	Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
Bendazac	O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
Bendroflumethiazide	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
Benfotiamine	C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
Benorilate	CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1
Benoxaprofen	CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
Benperidol	O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1
Benserazide	NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
Benzatropine	CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
Benzethonium	CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
Benzhydrocodone	COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@H]4[C@@H](C2)N(C)CC[C@]314
Benziodarone	CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
Benznidazole	O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
Benzocaine	CCOC(=O)c1ccc(N)cc1
Benzoic acid	O=C(O)c1ccccc1
