drug_id,drug_seq
102177,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1cnc2ccccc2c1
102178,O=C1N(Cc2ccccc2-n2nccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102179,Cn1c(nc2ccccc12)N1CCC2(CCCN(Cc3ccccc3)C2=O)CC1
102183,O=C1N(Cc2cccc(c2)-c2ccccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102186,O=C1N(Cc2c[nH]c3ncccc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102189,O=C1N(Cc2cccc(c2)-n2cccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102190,O=C1N(Cc2cccc(c2)-c2ncccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102192,O=C1N(Cc2ccnc(c2)-n2cccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102194,O=C1N(Cc2cccc(c2)-c2cnccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102202,Cc1nc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c(s1)-c1cccc(F)c1
102206,O=C1N(Cc2cccc3nonc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102211,O=C1N(Cc2cccc3OCCOc23)CCCC11CCN(CC1)c1nccc2occc12
102212,O=C1N(Cc2cccc(n2)-n2cccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102224,O=C1N(Cc2ncoc2-c2ccccc2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102227,Cc1nc(no1)-c1cccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102233,Cc1noc(n1)-c1cccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102240,COc1cccc(c1)-n1cncc1CN1CCCC2(CCN(CC2)c2cnc3ccccc3n2)C1=O
102242,O=C1N(Cc2cccc3nsnc23)CCCC11CCN(CC1)c1cnc2ccccc2n1
102254,Cc1ccc(N)c(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102257,Cc1ccc(cc1CN1CCCC2(CCN(CC2)c2cnc3ccccc3n2)C1=O)-n1nccn1
102258,Nc1ccccc1C(=N)CN1CCCC2(CCN(CC2)c2cnc3ccccc3n2)C1=O
102259,Cn1cc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c2ccccc12
102265,Clc1ccc2oc(nc2c1)N1CCC2(CCCC(=O)N2Cc2cccc3[nH]ccc23)CC1
102269,Cc1ccc2oc(nc2c1)N1CCC2(CCCC(=O)N2Cc2cccc3[nH]ccc23)CC1
102272,Cn1cc(CN2C(=O)CCCC22CCN(CC2)c2cnc3ccccc3n2)c2cccnc12
102276,Cc1cnc(o1)-c1cccc(CN2CCCC3(CCN(CC3)c3cnc4ccccc4n3)C2=O)c1
102278,O=C1N(Cc2ccccc2-c2ncco2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102279,O=C1N(Cc2ccccc2-c2ccco2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102281,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1nc2ccccc2[nH]1
102285,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1nccc2occc12
102289,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1ccc2ccccc2n1
102293,Cc1cc(nc2ccccc12)N1CCC2(CCCN(Cc3c[nH]c4ccccc34)C2=O)CC1
102296,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1cc2nccnc2cn1
102298,O=C1N(Cc2c[nH]c3ccccc23)CCCC11CCN(CC1)c1ncc2ccccc2n1
102303,O=C1C(Cc2c[nH]c3ccccc23)NCCC11CCN(CC1)c1nccc(n1)-n1cccn1
102306,O=C1N(Cc2cccc(c2)-n2nccn2)CCCC11CCN(CC1)c1cnc2ccccc2n1
102423,COC(=O)\C=C1\C[C@H]2C[C@]3(O)O[C@@H](C[C@H](OC(C)=O)C3(C)C)C[C@@H](O)CC(=O)O[C@H](C[C@@H]3C\C(=C/C(=O)OC)[C@H](OC(C)=O)[C@@](O)(O3)C(C)(C)\C=C\[C@@H](C1)O2)[C@@H](C)O
102563,CS(=O)(=O)C1CCN(CC1)c1cccc2n(ccc12)-c1ccnc(N[C@H]2CC[C@H](O)CC2)n1
103302,O=C(CN1CC[C@@H](C1)C(=O)Nc1ccc2[nH]nc(-c3ccncc3)c2c1)N1CCN(CC1)c1ccc(cc1)-c1ncccn1
103622,CC(C)(CO)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1
103623,CC(CO)(CO)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1
104011,C[C@H]1OC(=N[C@@H]1C(=O)N(CCCNC(=O)c1cccc(O)c1O)CCCNC(=O)c1cccc(O)c1O)c1cccc(O)c1O
104012,C[C@@H](O)[C@H](NC(=O)c1cccc(O)c1O)C(=O)N(CCCNC(=O)c1cccc(O)c1O)CCCNC(=O)c1cccc(O)c1O
104013,C[C@H]1OC(=NC1C(=O)CCCCN(CCCNC(=O)c1cccc(O)c1O)C(=O)[C@H]1N=C(O[C@@H]1C)c1cccc(O)c1O)c1cccc(O)c1O
104014,C[C@@H](O)[C@H](NC(=O)c1cccc(O)c1O)C(=O)NCCCN(CCCNC(=O)c1cccc(O)c1O)C(=O)[C@@H](NC(=O)c1cccc(O)c1O)[C@@H](C)O
104065,CC(Sc1nc2n(ncc2c(=O)[nH]1)-c1cccc(Cl)c1)C(N)=O
104066,OCCSc1nc2n(ncc2c(=O)[nH]1)-c1cccc(Cl)c1
10443,Cc1cc(N)c2ccccc2n1
10450,Nc1ccnc2ccccc12
10458,Nc1ccncc1
104963,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
106769,C(c1ccccc1)n1c(nc2ccccc12)-c1ccccc1
10755,NCCc1c[nH]c2ccc(O)cc12
10758,NCCc1ccccc1
10759,CC(=O)OCC[N+](C)(C)C
108233,FC(F)(F)c1ccccc1N1CCNCC1
108425,Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1cccc(NC(=O)C2CC2)c1
108426,CC(C)(C)C(=O)Nc1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108427,CC(=O)OC(C)(C)C(=O)Nc1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108428,CC(C)(O)C(=O)Nc1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108429,C[C@H](O)CNC(=O)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108430,C[C@@H](O)CNC(=O)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108431,CN(C)C(=O)C1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108432,CCN(CC)C(=O)C1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108433,Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1cccc(c1)N1CCC(CC1)C(=O)N1CCOCC1
108434,CC(=O)NC1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108435,CCC(=O)N1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108436,Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1cccc(c1)N1CCN(CC1)C(=O)C1CC1
108437,CC(C)C(=O)N1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108438,CC(C)(C)C(=O)N1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108439,C[C@H]1CN(C[C@@H](C)O1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1
108440,Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1cccc(c1)N1CCS(=O)(=O)CC1
108442,Nc1ncccc1-c1nc2ccc(Nc3ccc(cc3)N3CCOCC3)nc2n1-c1ccc(cc1)C1(N)CCC1
108443,Nc1ncccc1-c1nc2ccc(Sc3ccccc3)nc2n1-c1ccc(cc1)C1(N)CCC1
108444,Nc1ncccc1-c1nc2ccc(Oc3ccccc3)nc2n1-c1ccc(cc1)C1(N)CCC1
10847,Cn1c2nc[nH]c2c(=O)n(C)c1=O
10849,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
10850,CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O
10853,CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@H](NC(=O)C[C@H](NC(=O)[C@H](Cc2ccccc2)N(C)C1=O)C(O)=O)C(O)=O
10854,CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(O)=O)NC(=O)[C@H](Cc2cnc[nH]2)N2[C@H](O)C[C@H](NC(=O)[C@H]3CCCN3C1=O)C2=O
10857,Nc1ccc(cc1)S(N)(=O)=O
10859,Cc1ccc(cc1)S(N)(=O)=O
10877,NS(=O)(=O)c1ccc(CCO)cc1
10880,CC(=O)Nc1nnc(s1)S(N)(=O)=O
10882,CCOc1ccc2nc(sc2c1)S(N)(=O)=O
10884,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
10885,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
10887,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
10888,NS(=O)(=O)Cc1noc2ccccc12
109086,FC(F)(F)Oc1cccc(CC(=O)Nc2ccc(CCCCc3nnc(NC(=O)Cc4ccccn4)s3)nn2)c1
109206,CCN1\C(=C\C=C\C=C\C2=[N+](CC)c3ccc(cc3C2(C)C)S([O-])(=O)=O)C(C)(CCCC(=O)NCCCC[C@@H](NC(=O)c2ccc(Nc3ncc4CN=C(c5cc(Cl)ccc5-c4n3)c3c(F)cccc3OC)cc2OC)C(N)=O)c2cc(ccc12)S(O)(=O)=O
109207,CCN1\C(=C\C=C\C=C\C2=[N+](CC)c3ccc(cc3C2(C)C)S([O-])(=O)=O)C(C)(CCCC(=O)NCCCCC(NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCNC(N)=[NH2+])NC(C)=O)C(=O)NC(CCCCNC(=O)c2ccc(Nc3ncc4CN=C(c5cc(Cl)ccc5-c4n3)c3c(F)cccc3OC)cc2OC)C(N)=O)c2cc(ccc12)S([O-])(=O)=O
109208,CCN1\C(=C\C=C\C=C\C2=[N+](CC)c3ccc(cc3C2(C)C)S([O-])(=O)=O)C(C)(CCCC(=O)NCCCC[C@@H](NC(=O)[C@]2(Cc3cccc(Nc4nccs4)n3)CCC(CC2)Oc2cccc(Cl)c2F)C(N)=O)c2cc(ccc12)S(O)(=O)=O
109232,OC(=O)c1cccc(n1)-c1ccc2CCCC(=NNc3nc4ccccc4s3)c2c1
109236,NCc1ccc(OCCCc2sc(nc2C(O)=O)-c2ccc3CCCC(=NNc4nc5ccccc5s4)c3c2)cc1
109750,Cn1cccc1-c1cccnc1
10999,NCc1ccccc1
11,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
11162,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
112464,C[C@H]1CC[C@@H](CC1)n1c2cnccc2c2cnc(Nc3ccc4CN(CCc4n3)C(=O)CO)nc12
11273,COc1cccc(c1)-c1nc(SCC(=O)Nc2ccc(cc2)S(N)(=O)=O)[nH]c(=O)c1C#N
11304,FC(F)(F)c1nnc(SC(=O)c2ccc(o2)C#Cc2ccccc2)[nH]1
11323,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
114408,OC(=O)CSc1ccnc2cc(Cl)ccc12
114543,CCCCOc1ccc(CSC(N)=N)cc1Cl
11638,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O
11639,Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
11695,OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N
11833,NCC1CCn2c(C1)c(C1=C(C(=O)NC1=O)c1c[nH]c3ccccc13)c1ccccc21
11834,CN(C)CC1CCn2c(C1)c(C1=C(C(=O)NC1=O)c1c[nH]c3ccccc13)c1ccccc21
11835,CC(=O)c1cccc(c1)-c1cnc2ccc(NCC3CC3)nn12
119078,CCOC(=O)C(=NNc1cccc(c1)C(F)(F)F)C1=Nc2ccccc2SC1
119125,CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)NCCCCNC(=O)OCc1cncs1
119126,C[C@@H](CC[C@H](C)NC(=O)[C@@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(C)C)NC(=O)OCc1cncs1
119127,CC[C@@H](CC[C@H](CC)NC(=O)[C@H](CO)NC(=O)N(C)Cc1csc(n1)C(C)C)NC(=O)OCc1cncs1
119128,CCC[C@@H](CC[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(C)C)NC(=O)OCc1cncs1
119129,CC[C@H](C)C(=O)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1
11929,Cc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1
11930,COc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1
11931,NS(=O)(=O)c1ccc(s1)S(=O)(=O)NCc1cccs1
11932,NS(=O)(=O)c1cc2C(O)CN(Cc3cccs3)S(=O)(=O)c2s1
11933,COc1ccc(cc1)N1CC(O)c2cc(sc2S1(=O)=O)S(N)(=O)=O
11934,CCN[C@H]1CN(CCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
11935,COc1cccc(c1)N1CCc2cc(sc2S1(=O)=O)S(N)(=O)=O
11936,CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
11937,CN[C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
11938,COc1cccc(c1)N1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O
11941,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1OP(O)(O)=O
12,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
120095,Cn1nccc1Nc1nccc(n1)-c1ccn([C@H](CO)c2ccc(Cl)c(F)c2)c(=O)c1
12013,NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1
12020,NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(F)c(F)c1F
120768,CO[C@@H]1OC(CO)[C@H](O)[C@H](O)C1O
120769,CO[C@@H]1OC(CO)[C@@H](O[C@@H]2OC(CO)[C@H](O)[C@H](O)C2O)[C@H](O)C1NC(C)=O
120770,CCCNC(=O)c1cn(nn1)C1CCC[C@@H](O[C@@H]2OC(CO)[C@H](O)[C@@H](C2O)n2cc(nn2)C(=O)NCCC)C1O
120771,OCC1O[C@@H](S[C@@H]2CCCC(C2O)n2cc(nn2)-c2ccccc2F)C(O)[C@H]([C@H]1O)n1cc(nn1)-c1ccccc1F
120772,OCC1O[C@@H](S[C@@H]2CCCC(C2O)n2cc(nn2)-c2cccc(F)c2)C(O)[C@H]([C@H]1O)n1cc(nn1)-c1cccc(F)c1
120773,OCC1O[C@@H](S[C@@H]2CCCC(C2O)n2cc(nn2)-c2ccc(F)cc2)C(O)[C@H]([C@H]1O)n1cc(nn1)-c1ccc(F)cc1
120774,OCC1O[C@@H](S[C@@H]2CCCC(C2O)n2cc(nn2)-c2ccsc2)C(O)[C@H]([C@H]1O)n1cc(nn1)-c1ccsc1
120775,CCCNC(=O)c1cn(nn1)C1CCC[C@@H](S[C@@H]2OC(CO)[C@H](O)[C@@H](C2O)n2cc(nn2)C(=O)NCCC)C1O
120776,OCC1O[C@@H](S[C@@H]2CCCC(NC(=O)c3ccc(Cl)cc3)C2O)C(O)[C@@H](NC(=O)c2ccc(Cl)cc2)[C@H]1O
12255,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c5OCOc5ccc4Cl)ncnc3c2)CC1
123322,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1F)C(F)(F)F)c1ccccc1
123323,C[C@H](NC(=O)COc1cc(c2c(n[nH]c2n1)-c1ccccc1)C(F)(F)F)c1ccccc1
123324,Cn1nc(-c2ccccc2)c2c(cc(OCC(=O)N[C@H]3CCc4ccccc34)nc12)C(F)(F)F
123325,COc1ccc(cc1)[C@H](C)NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F
123326,C[C@H](CNC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1ccccc1
123327,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1c(C)n[nH]c1C
123328,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ccccc1)c1ccccc1
123329,CC(CCc1ccccc1)NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ccccc1
123330,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1ccccc1
123331,CC(NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1ccccc1
123332,COc1cccc(c1)-c1nn(C)c2nc(OCC(=O)N[C@@H](C)c3ccccc3)cc(c12)C(F)(F)F
123334,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1cccc(F)c1)C(F)(F)F)c1ccccc1
123335,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccc(F)cc1)C(F)(F)F)c1ccccc1
123336,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1cccc(C)c1)C(F)(F)F)c1ccccc1
123337,Cc1ccc(CNC(=O)COc2cc(c3c(nn(C)c3n2)-c2ccccc2)C(F)(F)F)cc1
123338,CC(NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1c(C)n[nH]c1C
123339,CCn1nccc1C(C)NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F
123340,COc1ccc(CNC(=O)COc2cc(c3c(nn(C)c3n2)-c2ccccc2)C(F)(F)F)cc1
123341,COc1ccc(cc1)C(C)NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F
123342,COc1cccc(c1)C(C)NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F
123343,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccc(C)cc1)C(F)(F)F)c1ccccc1
123344,COc1ccccc1-c1nn(C)c2nc(OCC(=O)N[C@@H](C)c3ccccc3)cc(c12)C(F)(F)F
123345,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1cccc(Cl)c1)C(F)(F)F)c1ccccc1
123346,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)-c1cccc(Br)c1)C(F)(F)F)c1ccccc1
123348,Cn1nc(-c2cccc(F)c2)c2c(cc(OCC(=O)N[C@H]3CCc4ccccc34)nc12)C(F)(F)F
123349,COc1ccc(cn1)C(C)NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F
123350,CC(NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1c(C)nn(C)c1C
123351,COc1ccc(cc1)[C@H](C)NC(=O)COc1cc(C)c2c(nn(C)c2n1)C1CC1
123352,CC(Oc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)C(=O)N[C@@H](C)c1ccccc1
123353,CC(NC(=O)COc1cc(c2c(nn(C)c2n1)-c1ccccc1)C(F)(F)F)c1ccc(C)nc1
123354,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ncccc1F)c1ccc(C)cc1
123355,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ncco1)c1ccc(C)cc1
123356,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1cnn(C)c1)c1ccc(C)cc1
123357,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ncccn1)c1ccc(C)cc1
123358,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1cnccn1)c1ccc(C)cc1
123359,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ccc(C)cn1)c1ccc(C)cc1
123361,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1nc(C)cs1)c1ccc(C)cc1
123362,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1nccs1)c1ccc(C)cc1
123363,COc1ccnc(n1)-c1nn(C)c2nc(OCC(=O)N[C@@H](C)c3ccc(C)cc3)cc(C)c12
123364,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1cncs1)c1ccc(C)cc1
123365,COc1nc(cs1)-c1nn(C)c2nc(OCC(=O)N[C@@H](C)c3ccc(C)cc3)cc(C)c12
123366,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1ncc(C)s1)c1ccc(C)cc1
123367,C[C@H](NC(=O)COc1cc(C)c2c(nn(C)c2n1)-c1cccc(C)n1)c1ccc(C)cc1
123368,Cc1ccc2[C@H](CCc2n1)NC(=O)COc1cc(C(F)F)c2c(nn(C)c2n1)C1CC1
123369,COc1ccc2C(CCc2c1)NC(=O)COc1cc(C)c2c(nn(C)c2n1)C1CC1
123370,Cc1ccc(cc1)C(C)(C)NC(=O)COc1cc(C)c2c(nn(C)c2n1)C1CC1
123371,COc1ccc(cc1)[C@H](C)NC(=O)COc1cc(C(F)F)c2c(nn(C)c2n1)C1CC1
123372,C[C@H](NC(=O)COc1cc(C(F)F)c2c(nn(C)c2n1)C1CC1)c1ccc(C)cc1
123373,C[C@H](NC(=O)COc1cc(c2c(nn(C)c2n1)C1CC1)C(F)(F)F)c1ccc(C)cc1
123374,COc1ccc(cn1)C(C)NC(=O)COc1cc(c2c(nn(C)c2n1)C1CC1)C(F)(F)F
